path,type,workflow,status,known_executable_use,recommended_action,caveat
ado/bnr_workbook.ado,ADO,Briefings,Active indirect dependency,Called by common/bnr_stage_briefing.do,Retain,ADO commands omit the extension in ordinary calls
ado/bnr_yml.ado,ADO,Briefings and metadata,Active indirect dependency,Called by common/bnr_stage_briefing.do,Retain,Also referenced by historical publishers
annual/build_cvd_annual_tabulations.do,DO,Historical annual tables,Coupled historical pathway,Calls bnrcvd_prep_2023_v1.do,Move with the old 2023 preparation unit,The new tables workflow is the current operational replacement
briefings/ad-hoc/cvd_ad_hoc_workflow_test_2026_v1.do,DO,Ad-hoc briefings,Non-routine support,Calls common/bnr_stage_briefing.do,Retain pending role and folder-name decision,Internal ad_hoc path differs from the ad-hoc folder name
briefings/bnr_step1_build_briefing.do,DO,Briefings Step 1,Active direct controller,Dispatched by current menu/dialog and calls three current analyses,Retain,
briefings/bnr_step2_approve_briefing.do,DO,Briefings Step 2,Active direct controller,Dispatched by current menu/dialog,Retain,
briefings/bnr_step3_publish_briefing.do,DO,Briefings Step 3,Active direct controller,Dispatched by current menu/dialog,Retain,
briefings/cvd_case_fatality/cvd_case_fatality.do,DO,Case-fatality briefing,Active analysis,Called by briefing Step 1,Retain,
briefings/cvd_case_fatality/cvd_case_fatality_equivalence_check.do,DO,Case-fatality validation,Validation evidence,Manual one-time equivalence check,Retain through handover then archive,Not part of routine operations
briefings/cvd_case_fatality/cvd_case_fatality_pre1.do,DO,Case-fatality briefing,Direct retirement candidate,No caller and superseded by cvd_case_fatality.do,Move to holding bay after diff confirmation,No operational or documentary caller found
briefings/cvd_cases_2023/cvd_cases_2023.do,DO,Historical case-count briefing,Coupled historical pathway,Calls bnrcvd_prep_2023_v1.do and bnr_publish_briefing.do,Move with the old 2023 preparation/publication unit,Produces superseded weekly v1 outputs
briefings/cvd_cases_2023/cvd_cases_2023_v2.do,DO,Case-count migration pilot,Migration evidence,Calls active bnr_stage_briefing.do but is not dispatched by the current menu,Retain as a frozen example outside the live briefing tree,Case counts are no longer an operational briefing product
briefings/cvd_cases_2023/cvd_cases_2023_v2_equivalence_check.do,DO,Case-count validation,Validation evidence,Manual one-time v2 equivalence check,Retain with the v2 migration example,Depends on historical prepared evidence for comparison
briefings/cvd_incidence/cvd_incidence.do,DO,Incidence briefing,Active analysis,Called by briefing Step 1,Retain,
briefings/cvd_incidence/cvd_incidence_equivalence_check.do,DO,Incidence validation,Validation evidence,Manual one-time equivalence check,Retain through handover then archive,Not part of routine operations
briefings/cvd_length_of_stay/cvd_length_of_stay.do,DO,Length-of-stay briefing,Active analysis,Called by briefing Step 1,Retain,
common/bnr_apply_suppression.do,DO,Legacy Metrics Step 5,Legacy indirect dependency,Called only by monthly/bnr_cvd_review_controller.do,Retire with the old review controller,Documentation must be corrected first
common/bnr_approve_publish_briefing.do,DO,Legacy combined briefing approval/publication,Direct retirement candidate,No current controller caller,Retire with its help file after documentation corrections,Current operations page still instructs users to run it
