rule_id,surveillance_family,evidence_class,plain_language_rule,why_this_class,provenance_id,scenario_use
HRT_N000,BNR-Heart,No evidence,No qualifying BNR-Heart evidence was detected on the certificate.,"The automated rules found no explicit AMI, qualifying ischaemic/coronary Heart wording, or qualifying sudden-cardiac-death evidence.",None,Not included
HRT_M001,BNR-Heart,Mention only,"Heart-related context was detected, but it does not by itself support BNR-Heart as the approximate underlying cause.",This is the general context/mention layer. Stronger rules can overwrite it when the certificate position and wording justify greater confidence.,NOS017,Not included
HRT_M002,BNR-Heart,Mention only,Current direct BNR-Heart wording appears only in Part II.,"Part II records contributing conditions outside the stated Part I causal sequence, so a Part-II-only Heart statement is retained as a mention rather than treated as approximate underlying cause.",NOS001,Not included
HRT_M003,BNR-Heart,Mention only,Only historical BNR-Heart evidence is present outside a current Part I Heart sequence.,"A previous, prior, remote or old Heart condition does not establish a current BNR-Heart underlying cause.",NOS017,Not included
HRT_M004,BNR-Heart,Mention only,Sudden cardiac death is written above another Part I cause on a certificate whose line order is preserved.,The certificate itself places another condition lower in the stated causal chain. Sudden cardiac death alone is therefore not promoted to approximate Heart underlying cause.,NOS017,Not included
HRT_P001,BNR-Heart,Possible,"Current direct BNR-Heart evidence appears somewhere in Part I, but a simple rule does not resolve it as the approximate underlying cause.","The Heart diagnosis is real certificate evidence, but another lower Part I condition or structural issue leaves meaningful uncertainty.",NOS007,Inclusive only
HRT_P002,BNR-Heart,Possible,"The certificate explicitly gives Heart and Stroke as alternatives, for example 'heart attack or stroke'.","The combined circulatory endpoint may be supported, but the Heart subtype cannot be resolved confidently from alternative wording.",NOS006,Inclusive only
HRT_P003,BNR-Heart,Possible,Current BNR-Heart and BNR-Stroke evidence both appear in Part I.,"Both surveillance families are present in the stated causal sequence, so Heart is retained as possible rather than forced to be the sole subtype.",NOS006,Inclusive only
HRT_P005,BNR-Heart,Possible,"Sudden cardiac death appears alone or as the lowest Part I condition, or the original certificate line order is not preserved.",Sudden cardiac death is within the historical BNR fatal-event ascertainment scope but is less specific than explicit AMI/IHD evidence.,NOS017,Inclusive only
HRT_P006,BNR-Heart,Possible,Historical-only Heart evidence appears in Part I with no separate current Heart evidence.,"A historical Heart condition in the stated causal sequence is stronger than a Part-II history, but it still does not establish a current acute Heart underlying cause.",NOS017,Inclusive only
HRT_L001,BNR-Heart,Likely,Current direct BNR-Heart evidence is on the lowest used Part I line of a reasonably formed multi-line certificate.,The lowest used Part I line is the usual starting point for underlying-cause selection when the reported sequence is acceptable. The BNR approximation stops at Likely because it does not perform full formal ICD sequence validation.,NOS002,Primary and Inclusive
HRT_L010,BNR-Heart,Likely,Explicit AMI appears above a lowest Part I ischaemic/coronary Heart condition.,WHO mortality linkage rules support resolving the IHD/AMI combination toward acute myocardial infarction.,NOS010,Primary and Inclusive
