nos_id,topic,plain_language_interpretation,BNR_use,international_rule,source,source_version,section,source_url,status
NOS001,International certificate structure,The certificate has two different roles: Part I states the sequence leading to death; Part II lists other important conditions that contributed but are not stated as part of that sequence.,Part I is treated as the stated causal sequence; Part II as other significant contributing conditions outside that sequence.,Underlying cause is the disease or injury that initiated the train of morbid events; a correctly completed certificate records the starting point on the lowest used Part I line.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.1.2-4.1.3; 7.1.2,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS002,Lowest-used-line starting point,"When several Part I lines are used, the lowest used line is an important starting point for underlying-cause selection, but the sequence still has to make sense. BNR therefore treats this as Likely rather than automatically Clear.",A direct target on the lowest used Part I line can reach Likely; multi-line certificates are not promoted to Clear solely because of line position.,"SP3: when more than one Part I line is used, all entries above must be capable of being caused by the first condition on the lowest used line before that condition is the tentative starting point.","World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.1 Step SP3,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS003,Accepted and rejected sequences,BNR should not invent causal relationships. A stronger causal rule is added only when an accepted mortality-coding principle or recognised decision table supports it.,Future causal promotions/rejections must cite an explicit WHO rule or recognised mortality decision table rather than clinical intuition.,WHO says the special accepted/rejected-sequence instructions must be followed; stated relationships not rejected should be accepted as far as possible; highly improbable relationships should be checked against internationally recognised mortality decision tables.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.3; Step SP3 notes,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS004,ACME causal decision table,ACME is a recognised mortality-coding decision table that can be consulted when WHO Volume 2 does not state a needed causal relationship plainly.,Used as a supplementary provenance source when a required causal pair is not sufficiently explicit in WHO Volume 2.,ACME Table D is the causal relationship table used to determine acceptable reported sequences for General Principle/Selection Rules.,"US National Center for Health Statistics, ICD-10 ACME Decision Tables",2024,"Part 2c, Section IV, Table D",https://www.cdc.gov/nchs/nvss/manuals/2024/2c-2024.htm,reference
NOS005,Uncertain diagnosis wording,"Words such as 'probable', 'possible' or 'presumed' do not make a disease diagnosis disappear for mortality coding. BNR therefore detects the disease wording and handles uncertainty through the certificate/rule context instead.",Words such as probable/possible do not by themselves downgrade an otherwise direct disease expression in the BNR text detector.,"WHO instructs mortality coders to ignore expressions indicating doubt such as apparently, presumably, probably or possibly.","World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.3.2 Uncertain diagnosis,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS006,Alternative AMI or stroke wording,"If the certificate literally offers Heart and Stroke as alternatives, BNR keeps the combined circulatory evidence but does not force the death into one subtype.",An explicit BNR-Heart-or-Stroke alternative is not forced into either surveillance family. It can support the combined Heart-or-Stroke endpoint while the family remains unresolved.,"WHO example: 'Stroke or heart attack' is coded to Other and unspecified disorders of circulatory system (I99), because both alternatives are in the circulatory system.","World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016","4.3.3 Either ... or, example 6",https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS007,Target disease above another Part I cause,"Finding Heart or Stroke above another Part I condition proves that the disease was mentioned in the fatal sequence, but it does not by itself prove that it initiated the sequence. BNR therefore normally leaves such cases Possible.",A direct BNR-Heart/BNR-Stroke expression above a lower Part I condition is normally Possible unless a separately documented rule supports stronger attribution.,"WHO lists acute/subsequent MI and specified cerebrovascular diseases among acute/terminal circulatory diseases that can be accepted as due to malignant neoplasm, diabetes or asthma; therefore disease occurrence above a lower condition does not itself prove that disease is UCoD.","World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.3A(k) Acute or terminal circulatory diseases due to other conditions,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS008,Cerebrovascular sequence exceptions,Some apparently unusual Stroke sequences are explicitly accepted internationally. Any future BNR Stroke causal exception should be tied to a documented rule rather than clinical intuition alone.,"Future stroke causal rules must respect explicit accepted sequence exceptions, including specified liver disease and endocarditis relationships.",WHO explicitly accepts intracerebral haemorrhage as due to liver disease and specified cerebrovascular embolism/thrombosis/stroke as due to endocarditis.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.3A(h) Cerebrovascular diseases due to other conditions,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,reference
NOS009,Single Part I line,"A single clean Part I cause gives the strongest certificate structure available to this practical method. If the disease wording is direct and there is no competing ambiguity, BNR allows Clear.",Supports Clear only when one clean Part I line contains direct target wording and no competing target or obvious structural ambiguity.,"SP2: when only one Part I line is used, the first-mentioned condition is the tentative starting point, followed by checks for further selection/modification rules.","World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.1 Step SP2,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS010,Ischaemic heart disease with acute myocardial infarction,"When acute MI and broader ischaemic/coronary Heart disease occur together in the relevant sequence, WHO mortality rules support resolving the combination toward acute MI.",Promotes direct AMI above a lowest Part I line containing ischaemic/coronary heart disease from Possible to Likely when exclusions do not apply.,"M1 linkage: I20, I24 or I25 with mention of I21 acute myocardial infarction is coded to I21; WHO worked examples select myocardial infarction over ischaemic heart disease.","World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.2 Step M1 examples; 4.2.5 I20/I24/I25 with I21,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
